in update mr0: q=0.15, mr0=0.86, mult0=0.12, mr1=0.0934, mult1=0.0143, spec_accs_cnt=63000, reg_accs_cnt=13756
in update mr0: q=0.15, mr0=0.86, mult0=0.12, mr1=0.0934, mult1=0.0141, spec_accs_cnt=64000, reg_accs_cnt=13952
in update mr1: q=0.15, mr0=0.86, mult0=0.12, mr1=0.0948, mult1=0.0143, spec_accs_cnt=64245, reg_accs_cnt=14000
in update mr0: q=0.14, mr0=0.84, mult0=0.14, mr1=0.0948, mult1=0.0135, spec_accs_cnt=65000, reg_accs_cnt=14201
calling from mr0
advertising
in update mr0: q=0.16, mr0=0.96, mult0=0.03, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=313
in update mr0: q=0.17, mr0=0.97, mult0=0.02, mr1=0.0010, mult1=0.0002, spec_accs_cnt=2000, reg_accs_cnt=577
in update mr0: q=0.17, mr0=0.97, mult0=0.02, mr1=0.0010, mult1=0.0002, spec_accs_cnt=3000, reg_accs_cnt=817
in update mr1: q=0.17, mr0=0.97, mult0=0.02, mr1=0.0040, mult1=0.0007, spec_accs_cnt=3487, reg_accs_cnt=1000
in update mr0: q=0.18, mr0=0.97, mult0=0.02, mr1=0.0040, mult1=0.0007, spec_accs_cnt=4000, reg_accs_cnt=1182
in update mr0: q=0.22, mr0=0.97, mult0=0.02, mr1=0.0040, mult1=0.0009, spec_accs_cnt=5000, reg_accs_cnt=1735
in update mr1: q=0.22, mr0=0.97, mult0=0.02, mr1=0.0077, mult1=0.0017, spec_accs_cnt=5775, reg_accs_cnt=2000
in update mr0: q=0.21, mr0=0.97, mult0=0.02, mr1=0.0077, mult1=0.0016, spec_accs_cnt=6000, reg_accs_cnt=2063
in update mr0: q=0.19, mr0=0.97, mult0=0.02, mr1=0.0077, mult1=0.0014, spec_accs_cnt=7000, reg_accs_cnt=2282
in update mr0: q=0.21, mr0=0.97, mult0=0.02, mr1=0.0077, mult1=0.0016, spec_accs_cnt=8000, reg_accs_cnt=2732
in update mr1: q=0.21, mr0=0.97, mult0=0.02, mr1=0.0156, mult1=0.0033, spec_accs_cnt=8849, reg_accs_cnt=3000
in update mr0: q=0.21, mr0=0.97, mult0=0.02, mr1=0.0156, mult1=0.0033, spec_accs_cnt=9000, reg_accs_cnt=3039
